EMPRES-i Plus,,,,,,,,,,,,,,,,,
Date downloaded: 28/09/2023 09:11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Filters,,,,,,,,,,,,,,,,,
Disease: Influenza - Avian,,,,,,,,,,,,,,,,,
Serotype: H5N1 HPAI,,,,,,,,,,,,,,,,,
Region: Global,,,,,,,,,,,,,,,,,
Diagnosis source: All,,,,,,,,,,,,,,,,,
Diagnosis status: Confirmed,,,,,,,,,,,,,,,,,
Animal type: All,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
360682,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Svalbard and Jan Mayen Islands,Administrative unit not available,OB_123803 - 2023-07-1884/FU306 - FUGLEFJELLA  SVALBARD,78.1688,15.1776,OIE,Confirmed,Wild,Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes,04/08/2023,15/08/2023,,
360685,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Norway,Moere Og Romsdal,OB_123783 - 2023-07-1825/FU284 - HUSTADVIKA,62.9594,7.0941,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),04/08/2023,15/08/2023,,
360687,Influenza - Avian,H5N1 HPAI,Americas,South America,Brazil,Rio De Janeiro,Parati,-23.058774,-44.673873,OIE,Confirmed,Wild,Cabot's Tern (Thalasseus Acuflavidus),04/08/2023,15/08/2023,,
360234,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Marche,CIVITANOVA MARCHE,43.32,13.720833,OIE,Confirmed,Wild,Sandwich Tern,03/08/2023,09/08/2023,,
360057,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Latvia,Saldus,Saldus city,56.664639,22.494971,OIE,Confirmed,Wild,Great Skua (Stercorarius Skua),02/08/2023,04/08/2023,,
360107,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Estonia,Lääne maakond,ROOGLAIU HARBOUR,58.706356,23.516486,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),02/08/2023,04/08/2023,,
360684,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Norway,Finnmark,OB_123784 - 2023-07-1820/FU279 - SÆTERVÅGVATNET  HONNINGSVÅG,70.9779,25.7826,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),02/08/2023,15/08/2023,,
360755,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Norway,Troms,STUDENTERVIKA  HONNINGSVÅG,69.666667,22.5,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),02/08/2023,15/08/2023,,
362450,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Niedersachsen,OB_124644 - 23-015-01143 - NORDEN,53.59,7.2,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),02/08/2023,05/09/2023,,
362455,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Niedersachsen,OB_124645 - 23-015-01144 - SPIEKEROOG,53.762108,7.739868,OIE,Confirmed,Wild,Sulids (Sulidae),02/08/2023,05/09/2023,,
